fecha,tmin,tmed,tmax,co2,nombre
1972-12-31,22.4,27.4,32.6,330.96,ALACANT/ALICANTE
1973-12-31,23.0,28.0,33.2,332.85,ALACANT/ALICANTE
1974-12-31,23.0,28.5,35.0,333.61,ALACANT/ALICANTE
1975-12-31,24.6,29.0,37.4,334.57,ALACANT/ALICANTE
1976-12-31,23.2,28.4,34.4,336.34,ALACANT/ALICANTE
1977-12-31,21.2,26.6,32.8,337.36,ALACANT/ALICANTE
1978-12-31,22.2,28.4,36.4,338.7,ALACANT/ALICANTE
1979-12-31,23.0,27.6,35.4,341.02,ALACANT/ALICANTE
1980-12-31,25.2,30.4,36.6,342.31,ALACANT/ALICANTE
1981-12-31,22.0,26.0,32.2,343.56,ALACANT/ALICANTE
1982-12-31,24.0,28.6,35.2,344.5,ALACANT/ALICANTE
1983-12-31,26.0,28.1,34.2,346.17,ALACANT/ALICANTE
1984-12-31,24.4,29.7,38.2,347.99,ALACANT/ALICANTE
1985-12-31,23.8,28.6,34.8,349.82,ALACANT/ALICANTE
1986-12-31,23.8,30.1,37.6,350.53,ALACANT/ALICANTE
1987-12-31,25.0,29.3,35.8,352.38,ALACANT/ALICANTE
1988-12-31,24.4,31.5,39.8,354.5,ALACANT/ALICANTE
1989-12-31,25.0,31.3,37.6,356.45,ALACANT/ALICANTE
1990-12-31,24.8,30.2,36.6,357.51,ALACANT/ALICANTE
1991-12-31,24.6,29.5,36.4,359.93,ALACANT/ALICANTE
1992-12-31,23.8,27.9,34.6,360.44,ALACANT/ALICANTE
1993-12-31,24.0,30.3,36.6,360.92,ALACANT/ALICANTE
1994-12-31,25.2,32.2,41.4,362.27,ALACANT/ALICANTE
1995-12-31,24.6,29.0,35.6,364.68,ALACANT/ALICANTE
1996-12-31,23.0,28.6,35.6,366.06,ALACANT/ALICANTE
1997-12-31,23.8,27.6,35.2,367.07,ALACANT/ALICANTE
1998-12-31,24.2,28.6,35.6,369.84,ALACANT/ALICANTE
1999-12-31,25.8,30.4,38.2,372.13,ALACANT/ALICANTE
2000-12-31,24.6,30.0,36.4,373.02,ALACANT/ALICANTE
2001-12-31,24.4,29.4,36.8,375.02,ALACANT/ALICANTE
2002-12-31,24.0,27.9,34.8,376.91,ALACANT/ALICANTE
2003-12-31,25.8,29.3,35.4,379.96,ALACANT/ALICANTE
2004-12-31,26.6,30.0,36.0,381.37,ALACANT/ALICANTE
2005-12-31,24.8,29.6,36.7,383.07,ALACANT/ALICANTE
2006-12-31,25.5,29.4,34.8,385.7,ALACANT/ALICANTE
2007-12-31,25.5,28.6,34.1,387.52,ALACANT/ALICANTE
2008-12-31,25.0,29.4,36.4,389.21,ALACANT/ALICANTE
2009-12-31,24.5,30.8,38.2,391.09,ALACANT/ALICANTE
2010-12-31,24.6,31.2,40.4,394.09,ALACANT/ALICANTE
2011-12-31,24.4,29.3,37.6,395.62,ALACANT/ALICANTE
2012-12-31,24.9,30.5,38.4,397.84,ALACANT/ALICANTE
2013-12-31,23.7,29.2,36.9,400.71,ALACANT/ALICANTE
2014-12-31,24.8,30.8,38.0,402.73,ALACANT/ALICANTE
2015-12-31,26.7,31.4,38.2,404.92,ALACANT/ALICANTE
2016-12-31,24.3,30.9,38.8,409.38,ALACANT/ALICANTE
2017-12-31,27.2,30.8,35.4,410.51,ALACANT/ALICANTE
2018-12-31,26.5,31.2,36.4,412.52,ALACANT/ALICANTE
2019-12-31,26.0,30.2,36.6,415.65,ALACANT/ALICANTE
2020-12-31,25.6,29.2,34.7,417.94,ALACANT/ALICANTE
2021-12-31,25.6,32.0,39.5,420.29,ALACANT/ALICANTE
2022-12-31,28.6,35.3,42.0,421.69,ALACANT/ALICANTE
2023-12-31,26.4,30.6,36.0,424.63,ALACANT/ALICANTE
2024-12-31,25.79485334338116,31.154475299568297,37.854430613725725,419.1365127710762,ALACANT/ALICANTE
2025-12-31,25.84864290363396,31.22732870677049,37.93617609291806,421.28749636340297,ALACANT/ALICANTE
2026-12-31,25.902537361758228,31.30032418926217,38.01808098830062,423.4426747028019,ALACANT/ALICANTE
2027-12-31,25.956529359872924,31.37345178141617,38.10013411789852,425.6017535559443,ALACANT/ALICANTE
2028-12-31,26.01061205620295,31.44670221662713,38.18232508407734,427.7644593279926,ALACANT/ALICANTE
2029-12-31,26.06477908887777,31.52006687827981,38.26464421852685,429.9305376149495,ALACANT/ALICANTE
2030-12-31,26.11902454226932,31.593537754156618,38.3470825311038,432.099751857549,ALACANT/ALICANTE
2031-12-31,26.173342915691112,31.66710739404324,38.42963166226316,434.2718820895686,ALACANT/ALICANTE
2032-12-31,26.227729094292872,31.74076887030784,38.51228383882578,436.4467237739386,ALACANT/ALICANTE
2033-12-31,26.282178321996703,31.81451574124541,38.595031832848846,438.6240867204909,ALACANT/ALICANTE
2034-12-31,26.33668617633162,31.88834201699327,38.67786892338115,440.8037940796201,ALACANT/ALICANTE
2035-12-31,26.391248545033296,31.9622421278374,38.76078886090108,442.98568140653225,ALACANT/ALICANTE
2036-12-31,26.44586160428509,32.03621089474177,38.84378583424898,445.16959579113154,ALACANT/ALICANTE
2037-12-31,26.500521798485416,32.11024350194495,38.926854439879,447.3553950489379,ALACANT/ALICANTE
2038-12-31,26.555225821434284,32.18433547147884,39.00998965326775,449.5429469687576,ALACANT/ALICANTE
2039-12-31,26.609970598839396,32.25848263947469,39.09318680232838,451.7321286131238,ALACANT/ALICANTE
2040-12-31,26.66475327204941,32.33268113413121,39.17644154268957,453.9228256678073,ALACANT/ALICANTE
2041-12-31,26.71957118292818,32.40692735522792,39.25974983470847,456.1149318369541,ALACANT/ALICANTE
2042-12-31,26.77442185978996,32.48121795507566,39.34310792209599,458.3083482806504,ALACANT/ALICANTE
2043-12-31,26.82930300432113,32.555549820803144,39.42651231204154,460.50298309193823,ALACANT/ALICANTE
2044-12-31,26.884212479419364,32.629920057886125,39.50995975673172,462.6987508105155,ALACANT/ALICANTE
2045-12-31,26.939148297885687,32.70432597483177,39.5934472361654,464.8955719705461,ALACANT/ALICANTE
2046-12-31,26.99410861190979,32.77876506893739,39.67697194217427,467.0933726801888,ALACANT/ALICANTE
2047-12-31,27.04909170329284,32.85323501304808,39.76053126356414,469.292084230618,ALACANT/ALICANTE
2048-12-31,27.104095974356127,32.92773364324323,39.84412277229857,471.4916427324716,ALACANT/ALICANTE
2049-12-31,27.15911993948735,33.00225894738671,39.92774421065156,473.6919887777962,ALACANT/ALICANTE
2050-12-31,27.21416221727993,33.076809054480215,40.01139347926141,475.893067125708,ALACANT/ALICANTE
2051-12-31,27.2692215232237,33.151382224763424,40.09506862602255,478.09482641009936,ALACANT/ALICANTE
2052-12-31,27.324296662908232,33.22597684050851,40.17876783575651,480.2972188678506,ALACANT/ALICANTE
2053-12-31,27.379386525702984,33.30059139746038,40.2624894206074,482.500200086104,ALACANT/ALICANTE
2054-12-31,27.434490078880668,33.37522449687733,40.34623181111105,484.7037287672652,ALACANT/ALICANTE
2055-12-31,27.489606362152887,33.44987483812999,40.4299935478907,486.9077665104888,ALACANT/ALICANTE
2056-12-31,27.544734482589035,33.524541211819425,40.51377327393504,489.1122776084909,ALACANT/ALICANTE
2057-12-31,27.59987360989156,33.599222493377866,40.59756972741799,491.3172288586133,ALACANT/ALICANTE
2058-12-31,27.65502297200274,33.67391763711847,40.681381735022114,493.5225893871416,ALACANT/ALICANTE
2059-12-31,27.71018185101949,33.74862567070227,40.76520820573028,495.7283304859451,ALACANT/ALICANTE
2060-12-31,27.76534957939483,33.823345689993346,40.8490481250529,497.9344254605753,ALACANT/ALICANTE
2061-12-31,27.82052553640568,33.89807685427485,40.932900549660005,500.1408494890201,ALACANT/ALICANTE
2062-12-31,27.875709144868548,33.97281838180058,41.01676460238991,502.347579490365,ALACANT/ALICANTE
2063-12-31,27.93089986808547,34.047569545658554,41.1006394676079,504.5545940026663,ALACANT/ALICANTE
2064-12-31,27.98609720700424,34.12232966992481,41.18452438689057,506.7618730693916,ALACANT/ALICANTE
2065-12-31,28.041300697577817,34.197098126086885,41.26841865501282,508.9693981338252,ALACANT/ALICANTE
2066-12-31,28.096509908308946,34.27187432971827,41.352321616216365,511.1771519408805,ALACANT/ALICANTE
2067-12-31,28.15172443796698,34.346657737386025,41.43623266073993,513.385118445799,ALACANT/ALICANTE
2068-12-31,28.20694391346495,34.421447843775404,41.52015122159293,515.5932827292545,ALACANT/ALICANTE
2069-12-31,28.2621679878854,34.496244179016074,41.60407677155534,517.8016309184112,ALACANT/ALICANTE
2070-12-31,28.317396338644805,34.57104630619597,41.688008820388085,520.0101501135194,ALACANT/ALICANTE
2071-12-31,28.372628665786724,34.64585381904945,41.77194691223907,522.2188283196606,ALACANT/ALICANTE
2072-12-31,28.42786469039462,34.72066633980769,41.855890623231154,524.4276543832788,ALACANT/ALICANTE
2073-12-31,28.48310415311612,34.795483517199834,41.939839559219344,526.6366179331653,ALACANT/ALICANTE
2074-12-31,28.53834681279061,34.870305024594266,42.02379335370525,528.8457093255818,ALACANT/ALICANTE
2075-12-31,28.59359244517336,34.945130558270435,42.10775166589792,531.0549195932339,ALACANT/ALICANTE
2076-12-31,28.64884084174881,35.019959835811704,42.19171417891053,533.264240397822,ALACANT/ALICANTE
2077-12-31,28.704091808627435,35.09479259461109,42.2756805980838,535.4736639859228,ALACANT/ALICANTE
2078-12-31,28.759345165519736,35.16962859048174,42.359650649426825,537.6831831479634,ALACANT/ALICANTE
2079-12-31,28.814600744782293,35.24446759636483,42.44362407816725,539.8927911800737,ALACANT/ALICANTE
2080-12-31,28.869858390530776,35.319309401128216,42.527600647403375,542.1024818486155,ALACANT/ALICANTE
2081-12-31,28.925117957815072,35.39415380844924,42.6115801368505,544.3122493571981,ALACANT/ALICANTE
2082-12-31,28.98037931185235,35.46900063577597,42.69556234167545,546.5220883160089,ALACANT/ALICANTE
2083-12-31,29.035642327313894,35.54384971336127,42.77954707141271,548.7319937132944,ALACANT/ALICANTE
2084-12-31,29.090906887661955,35.6187008833646,42.86353414895663,550.9419608888418,ALACANT/ALICANTE
2085-12-31,29.14617288453312,35.69355399901691,42.94752340962437,553.151985509321,ALACANT/ALICANTE
2086-12-31,29.201440217164933,35.76840892384398,43.03151470028442,555.362063545356,ALACANT/ALICANTE
2087-12-31,29.25670879186277,35.843265530944365,43.1155078785465,557.5721912502045,ALACANT/ALICANTE
2088-12-31,29.311978521504045,35.918123702317885,43.19950281200799,559.7823651399326,ALACANT/ALICANTE
2089-12-31,29.36724932507722,35.99298332824128,43.28349937755342,561.9925819749814,ALACANT/ALICANTE
2090-12-31,29.4225211272532,36.06784430668766,43.367497460703085,564.2028387430252,ALACANT/ALICANTE
2091-12-31,29.477793857986697,36.14270654278663,43.45149695500726,566.4131326430324,ALACANT/ALICANTE
2092-12-31,29.533067452145644,36.217569948322286,43.5354977614829,568.6234610704455,ALACANT/ALICANTE
2093-12-31,29.588341849166547,36.29243444126652,43.61949978809002,570.8338216033987,ALACANT/ALICANTE
2094-12-31,29.643616992734028,36.36729994534492,43.70350294924458,573.0442119899044,ALACANT/ALICANTE
2095-12-31,29.69889283048286,36.4421663896332,43.78750716536568,575.2546301359359,ALACANT/ALICANTE
2096-12-31,29.75416931372089,36.517033708181984,43.87151236245455,577.4650740943493,ALACANT/ALICANTE
2097-12-31,29.80944639717138,36.59190183966774,43.95551847170285,579.6755420545793,ALACANT/ALICANTE
2098-12-31,29.864724038733463,36.666770727068425,44.03952542912874,581.8860323330597,ALACANT/ALICANTE
2099-12-31,29.92000219925936,36.74164031736167,44.123533175238265,584.0965433643152,ALACANT/ALICANTE
2100-12-31,29.97528084234724,36.816510561244286,44.20754165471055,586.3070736926778,ALACANT/ALICANTE
1958-12-31,18.12934782608696,22.963043478260868,27.79891304347826,315.4686575342466,VALÈNCIA
1959-12-31,18.81304347826087,23.62608695652174,28.433695652173917,316.0033150684932,VALÈNCIA
1960-12-31,19.73913043478261,23.880434782608692,28.02173913043478,316.9012568306011,VALÈNCIA
1961-12-31,19.27173913043478,23.35217391304348,27.43260869565217,317.5978904109589,VALÈNCIA
1962-12-31,19.56086956521739,23.68478260869565,27.808695652173917,318.42120547945206,VALÈNCIA
1963-12-31,19.358695652173918,23.472826086956523,27.58695652173913,318.8938630136986,VALÈNCIA
1964-12-31,19.83695652173913,24.132608695652173,28.428260869565214,319.8013934426229,VALÈNCIA
1965-12-31,19.20434782608696,23.492391304347827,27.780434782608697,320.01460273972606,VALÈNCIA
1966-12-31,19.51304347826087,23.691304347826087,27.86521739130435,321.3195068493151,VALÈNCIA
1967-12-31,19.01195652173913,23.208695652173912,27.39782608695652,322.1075616438356,VALÈNCIA
1968-12-31,19.284782608695654,23.61847826086957,27.96195652173913,323.0619398907104,VALÈNCIA
1969-12-31,18.79891304347826,23.05,27.292391304347827,324.6155342465753,VALÈNCIA
1970-12-31,19.56195652173913,23.85,28.13478260869565,325.67654794520547,VALÈNCIA
1971-12-31,19.505434782608692,23.80652173913043,28.10760869565217,326.31317808219177,VALÈNCIA
1972-12-31,18.869565217391305,22.436956521739127,26.00434782608696,327.4989344262295,VALÈNCIA
1973-12-31,19.93260869565217,23.791304347826088,27.64565217391305,329.6049589041096,VALÈNCIA
1974-12-31,19.28695652173913,23.589130434782607,27.894565217391307,330.18780821917807,VALÈNCIA
1975-12-31,20.025,23.99673913043478,27.969565217391303,331.08879452054794,VALÈNCIA
1976-12-31,19.967391304347824,24.24673913043478,28.52608695652174,332.083306010929,VALÈNCIA
1977-12-31,18.10978260869565,22.278260869565216,26.44782608695652,333.7870410958904,VALÈNCIA
1978-12-31,19.047826086956523,22.904347826086955,26.76086956521739,335.4004109589041,VALÈNCIA
1979-12-31,20.108695652173918,23.86847826086957,27.62826086956522,336.8345205479452,VALÈNCIA
1980-12-31,19.508695652173916,23.578260869565216,27.64782608695652,338.61412568306014,VALÈNCIA
1981-12-31,19.108695652173918,23.095652173913045,27.082608695652173,339.9098904109589,VALÈNCIA
1982-12-31,20.72826086956522,24.858695652173918,28.98913043478261,341.0505753424658,VALÈNCIA
1983-12-31,20.058695652173917,23.85,27.64130434782609,342.76361643835617,VALÈNCIA
1984-12-31,19.082608695652173,23.213043478260868,27.343478260869563,344.4241256830601,VALÈNCIA
1985-12-31,20.45,24.35,28.25,345.8611232876712,VALÈNCIA
1986-12-31,20.17391304347826,24.11847826086957,28.063043478260877,347.05117808219177,VALÈNCIA
1987-12-31,20.22826086956522,24.296739130434784,28.36521739130435,348.8009315068493,VALÈNCIA
1988-12-31,20.090217391304343,24.21195652173913,28.330434782608695,351.23054644808747,VALÈNCIA
1989-12-31,21.41304347826087,25.208695652173912,29.005434782608692,352.653397260274,VALÈNCIA
1990-12-31,21.019565217391303,25.039130434782606,29.05760869565217,353.95764383561647,VALÈNCIA
1991-12-31,20.22717391304348,24.643478260869564,29.05760869565217,355.36279452054794,VALÈNCIA
1992-12-31,19.43804347826087,23.846739130434784,28.25108695652174,356.17819672131145,VALÈNCIA
1993-12-31,19.88804347826087,24.247826086956525,28.597826086956523,356.9102191780822,VALÈNCIA
1994-12-31,21.567391304347822,25.794565217391305,30.02173913043478,358.7012602739726,VALÈNCIA
1995-12-31,20.719565217391303,24.77282608695652,28.82717391304348,360.71849315068494,VALÈNCIA
1996-12-31,20.46413043478261,24.955434782608695,29.446739130434786,362.3971038251366,VALÈNCIA
1997-12-31,20.31413043478261,24.85978260869565,29.40652173913044,363.4892328767123,VALÈNCIA
1998-12-31,21.005434782608692,25.505434782608692,30.01304347826087,366.4244383561645,VALÈNCIA
1999-12-31,21.366304347826087,25.48913043478261,29.61521739130435,368.1624657534246,VALÈNCIA
2000-12-31,20.16086956521739,24.99673913043478,29.833695652173912,369.3426229508197,VALÈNCIA
2001-12-31,21.12608695652174,25.72608695652174,30.325,370.8802465753425,VALÈNCIA
2002-12-31,20.119565217391305,24.642391304347825,29.15978260869565,373.02978082191777,VALÈNCIA
2003-12-31,22.87173913043478,27.440217391304348,32.0,375.52230136986304,VALÈNCIA
2004-12-31,21.89673913043478,26.02717391304348,30.155434782608697,377.4297267759563,VALÈNCIA
2005-12-31,21.49347826086957,25.49891304347826,29.51086956521739,379.60709589041096,VALÈNCIA
2006-12-31,21.355434782608697,25.07608695652174,28.79565217391304,381.70205479452056,VALÈNCIA
2007-12-31,20.968478260869563,24.741304347826084,28.50434782608696,383.5636712328767,VALÈNCIA
2008-12-31,20.88804347826087,24.67717391304348,28.471739130434784,385.4028961748634,VALÈNCIA
2009-12-31,21.578260869565216,25.62826086956522,29.67391304347826,387.35761643835616,VALÈNCIA
2010-12-31,21.15217391304348,25.13369565217392,29.10760869565217,389.9128493150685,VALÈNCIA
2011-12-31,21.006521739130434,24.69347826086957,28.37826086956522,391.7211232876712,VALÈNCIA
2012-12-31,22.07934782608696,25.928260869565214,29.77065217391305,393.9718579234973,VALÈNCIA
2013-12-31,20.791304347826088,24.52282608695652,28.23695652173913,396.64134246575344,VALÈNCIA
2014-12-31,21.19891304347826,24.941304347826087,28.690217391304348,398.6715342465753,VALÈNCIA
2015-12-31,22.425,26.214130434782607,30.002173913043475,400.8598356164384,VALÈNCIA
2016-12-31,21.2,24.85,28.51304347826087,404.2107103825136,VALÈNCIA
2017-12-31,21.64565217391305,25.51521739130435,29.38478260869565,406.5068767123288,VALÈNCIA
2018-12-31,22.041304347826088,25.88478260869565,29.73152173913044,408.5261643835616,VALÈNCIA
2019-12-31,21.446739130434786,25.53152173913044,29.61304347826087,411.4087397260274,VALÈNCIA
2020-12-31,21.74782608695652,25.502173913043475,29.25326086956522,413.9489617486339,VALÈNCIA
2021-12-31,21.40217391304348,25.233695652173918,29.06086956521739,416.0706301369863,VALÈNCIA
2022-12-31,22.89782608695652,26.979347826086958,31.05760869565217,418.2237534246576,VALÈNCIA
2023-12-31,22.968478260869563,26.655434782608697,30.338043478260868,420.7751232876713,VALÈNCIA
2024-12-31,22.10956420649759,26.208531195356105,30.306103815867584,419.1365127710762,VALÈNCIA
2025-12-31,22.168053754932405,26.26664564841282,30.36383895763488,421.28749636340297,VALÈNCIA
2026-12-31,22.226657366934656,26.3248734335436,30.42168669176119,423.4426747028019,VALÈNCIA
2027-12-31,22.28536704171132,26.38320660126477,30.47963912064889,425.6017535559443,VALÈNCIA
2028-12-31,22.344175339671256,26.441637759695524,30.537688900663763,427.7644593279926,VALÈNCIA
2029-12-31,22.40307534306064,26.500160035445823,30.59582920327817,429.9305376149495,VALÈNCIA
2030-12-31,22.462060619359644,26.5587670372478,30.65405367893986,432.099751857549,VALÈNCIA
2031-12-31,22.521125187246465,26.61745282213806,30.712356423474983,434.2718820895686,VALÈNCIA
2032-12-31,22.580263484948876,26.676211864012195,30.77073194684785,436.4467237739386,VALÈNCIA
2033-12-31,22.639470340815578,26.73503902438489,30.82917514411188,438.6240867204909,VALÈNCIA
2034-12-31,22.698740945951894,26.793929525201055,30.887681268398204,440.8037940796201,VALÈNCIA
2035-12-31,22.7580708287748,26.85287892355408,30.94624590579894,442.98568140653225,VALÈNCIA
2036-12-31,22.81745583135277,26.911883088177383,31.004864952012152,445.16959579113154,VALÈNCIA
2037-12-31,22.876892087405267,26.970938177585005,31.063534590625142,447.3553950489379,VALÈNCIA
2038-12-31,22.93637600184534,27.030040619745417,31.12225127292093,449.5429469687576,VALÈNCIA
2039-12-31,22.99590423175724,27.089187093181096,31.181011699101177,451.7321286131238,VALÈNCIA
2040-12-31,23.05547366870832,27.148374509393868,31.23981280082624,453.9228256678073,VALÈNCIA
2041-12-31,23.115081422301586,27.20759999652295,31.29865172497988,456.1149318369541,VALÈNCIA
2042-12-31,23.174724804881976,27.26686088414931,31.357525818572817,458.3083482806504,VALÈNCIA
2043-12-31,23.234401317315378,27.32615468916585,31.416432614705123,460.50298309193823,VALÈNCIA
2044-12-31,23.294108635765173,27.3854791026388,31.47536981951336,462.6987508105155,VALÈNCIA
2045-12-31,23.35384459939623,27.44483197759053,31.53433530003316,464.8955719705461,VALÈNCIA
2046-12-31,23.41360719894152,27.504211317639506,31.593327072913308,467.0933726801888,VALÈNCIA
2047-12-31,23.47339456607057,27.563615266436926,31.65234329392134,469.292084230618,VALÈNCIA
2048-12-31,23.533204963503778,27.62304209784441,31.71138224818533,471.4916427324716,VALÈNCIA
2049-12-31,23.59303677582,27.68249020680057,31.770442341120077,473.6919887777962,VALÈNCIA
2050-12-31,23.652888500909043,27.74195810082829,31.82952208998981,475.893067125708,VALÈNCIA
2051-12-31,23.71275874202368,27.80144439213772,31.88862011606275,478.09482641009936,VALÈNCIA
2052-12-31,23.77264620038907,27.860947790283124,31.94773513731586,480.2972188678506,VALÈNCIA
2053-12-31,23.83254966833074,27.92046709533487,32.006865961651414,482.500200086104,VALÈNCIA
2054-12-31,23.89246802288447,27.98000119153035,32.066011480589346,484.7037287672652,VALÈNCIA
2055-12-31,23.952400219854404,28.03954904137017,32.125170663402,486.9077665104888,VALÈNCIA
2056-12-31,24.01234528828804,28.099109680128574,32.18434255166035,489.1122776084909,VALÈNCIA
2057-12-31,24.07230232533868,28.15868221074885,32.243526254162745,491.3172288586133,VALÈNCIA
2058-12-31,24.132270491488217,28.218265799096752,32.30272094221931,493.5225893871416,VALÈNCIA
2059-12-31,24.19224900610514,28.277859669546977,32.36192584526722,495.7283304859451,VALÈNCIA
2060-12-31,24.25223714331397,28.337463100879116,32.42114024679346,497.9344254605753,VALÈNCIA
2061-12-31,24.312234228154512,28.39707542246152,32.48036348054357,500.1408494890201,VALÈNCIA
2062-12-31,24.37223963301053,28.456696010702863,32.53959492699639,502.347579490365,VALÈNCIA
2063-12-31,24.43225277428881,28.516324285752543,32.598834010085966,504.5545940026663,VALÈNCIA
2064-12-31,24.49227310933132,28.57595970843261,32.65808019415357,506.7618730693916,VALÈNCIA
2065-12-31,24.5523001335438,28.635601777384775,32.717332981113245,508.9693981338252,VALÈNCIA
2066-12-31,24.61233337772593,28.695250026417728,32.77659190781652,511.1771519408805,VALÈNCIA
2067-12-31,24.67237240558861,28.7549040220403,32.83585654360159,513.385118445799,VALÈNCIA
2068-12-31,24.732416811445507,28.814563361167835,32.895126488014725,515.5932827292545,VALÈNCIA
2069-12-31,24.79246621806645,28.87422766898936,32.95440136869133,517.8016309184112,VALÈNCIA
2070-12-31,24.85252027468144,28.933896596984354,33.01368083938567,520.0101501135194,VALÈNCIA
2071-12-31,24.912578655124623,28.9935698210787,33.07296457813886,522.2188283196606,VALÈNCIA
2072-12-31,24.972641056108497,29.05324703992988,33.13225228557522,524.4276543832788,VALÈNCIA
2073-12-31,25.03270719561915,29.112927973332543,33.1915436833183,526.6366179331653,VALÈNCIA
2074-12-31,25.092776811424034,29.172612360735847,33.25083851251786,528.8457093255818,VALÈNCIA
2075-12-31,25.152849659684467,29.23229995986486,33.310136532480286,531.0549195932339,VALÈNCIA
2076-12-31,25.2129255136654,29.291990545438583,33.36943751939499,533.264240397822,VALÈNCIA
2077-12-31,25.27300416253573,29.351683907977996,33.42874126515022,535.4736639859228,VALÈNCIA
2078-12-31,25.333085410252743,29.4113798526976,33.48804757623182,537.6831831479634,VALÈNCIA
2079-12-31,25.3931690745248,29.4710781984748,33.5473562726994,539.8927911800737,VALÈNCIA
2080-12-31,25.453254985846804,29.530778776891545,33.60666718723414,542.1024818486155,VALÈNCIA
2081-12-31,25.51334298660329,29.59048143134316,33.66598016425353,544.3122493571981,VALÈNCIA
2082-12-31,25.573432930234464,29.650186016209744,33.72529505908814,546.5220883160089,VALÈNCIA
2083-12-31,25.633524680460724,29.70989239608566,33.7846117372161,548.7319937132944,VALÈNCIA
2084-12-31,25.693618110561555,29.76960044506306,33.84393007355138,550.9419608888418,VALÈNCIA
2085-12-31,25.75371310270504,29.82931004606568,33.903249951781845,553.151985509321,VALÈNCIA
2086-12-31,25.813809547324396,29.88902109022939,33.962571263753944,555.362063545356,VALÈNCIA
2087-12-31,25.87390734253817,29.94873347632613,34.0218939089003,557.5721912502045,VALÈNCIA
2088-12-31,25.93400639361125,30.008447110228296,34.08121779370771,559.7823651399326,VALÈNCIA
2089-12-31,25.994106612453542,30.068161904410736,34.14054283122227,561.9925819749814,VALÈNCIA
2090-12-31,26.05420791715389,30.127877777487583,34.199868940589326,564.2028387430252,VALÈNCIA
2091-12-31,26.11431023154664,30.18759465378164,34.25919604662563,566.4131326430324,VALÈNCIA
2092-12-31,26.174413484808632,30.24731246292395,34.31852407942151,568.6234610704455,VALÈNCIA
2093-12-31,26.23451761108452,30.307031139481484,34.37785297397102,570.8338216033987,VALÈNCIA
2094-12-31,26.294622549138232,30.36675062261089,34.43718266982793,573.0442119899044,VALÈNCIA
2095-12-31,26.35472824202901,30.426470855736568,34.49651311078591,575.2546301359359,VALÈNCIA
2096-12-31,26.41483463681012,30.48619178625132,34.55584424458113,577.4650740943493,VALÈNCIA
2097-12-31,26.47494168424864,30.54591336523798,34.6151760226157,579.6755420545793,VALÈNCIA
2098-12-31,26.53504933856506,30.605635547210607,34.67450839970056,581.8860323330597,VALÈNCIA
2099-12-31,26.59515755719096,30.66535828987378,34.73384133381636,584.0965433643152,VALÈNCIA
2100-12-31,26.655266300543826,30.72508155389883,34.793174785891125,586.3070736926778,VALÈNCIA
